,n_bodies,time
549,87.0,274.49999999989535
550,87.0,274.9999999998949
551,87.0,275.49999999989444
552,87.0,275.999999999894
553,87.0,276.49999999989353
554,87.0,276.9999999998931
555,87.0,277.4999999998926
556,87.0,277.99999999989217
557,87.0,278.4999999998917
558,87.0,278.99999999989126
559,87.0,279.4999999998908
560,87.0,279.99999999989035
561,87.0,280.4999999998899
562,87.0,280.99999999988944
563,87.0,281.499999999889
564,87.0,281.99999999988853
565,87.0,282.4999999998881
566,87.0,282.9999999998876
567,87.0,283.49999999988717
568,87.0,283.9999999998867
569,87.0,284.49999999988626
570,87.0,284.9999999998858
571,87.0,285.49999999988535
572,87.0,285.9999999998849
573,87.0,286.49999999988444
574,87.0,286.999999999884
575,87.0,287.4999999998835
576,87.0,287.9999999998831
577,87.0,288.4999999998826
578,87.0,288.99999999988216
579,87.0,289.4999999998817
580,87.0,289.99999999988125
581,87.0,290.4999999998808
582,87.0,290.99999999988034
583,87.0,291.4999999998799
584,87.0,291.99999999987944
585,87.0,292.499999999879
586,87.0,292.9999999998785
587,87.0,293.49999999987807
588,87.0,293.9999999998776
589,87.0,294.49999999987716
590,87.0,294.9999999998767
591,87.0,295.49999999987625
592,87.0,295.9999999998758
593,87.0,296.49999999987534
594,87.0,296.9999999998749
595,87.0,297.49999999987443
596,87.0,297.999999999874
597,87.0,298.4999999998735
598,87.0,298.99999999987307
599,87.0,299.4999999998726
600,87.0,299.99999999987216
601,87.0,300.4999999998717
602,87.0,300.99999999987125
603,87.0,301.4999999998708
604,87.0,301.99999999987034
605,87.0,302.4999999998699
606,87.0,302.99999999986943
607,87.0,303.499999999869
608,87.0,303.9999999998685
609,87.0,304.49999999986807
610,87.0,304.9999999998676
611,87.0,305.49999999986716
612,87.0,305.9999999998667
613,87.0,306.49999999986625
614,87.0,306.9999999998658
615,87.0,307.49999999986534
616,87.0,307.9999999998649
617,87.0,308.49999999986443
618,87.0,308.999999999864
619,87.0,309.4999999998635
620,87.0,309.99999999986306
621,87.0,310.4999999998626
622,87.0,310.99999999986215
623,87.0,311.4999999998617
624,87.0,311.99999999986125
625,87.0,312.4999999998608
626,87.0,312.99999999986034
627,87.0,313.4999999998599
628,87.0,313.9999999998594
629,87.0,314.49999999985897
630,87.0,314.9999999998585
631,87.0,315.49999999985806
632,87.0,315.9999999998576
633,87.0,316.49999999985715
634,87.0,316.9999999998567
635,87.0,317.49999999985624
636,87.0,317.9999999998558
637,87.0,318.49999999985533
638,87.0,318.9999999998549
639,87.0,319.4999999998544
640,87.0,319.99999999985397
641,87.0,320.4999999998535
642,87.0,320.99999999985306
643,87.0,321.4999999998526
644,87.0,321.99999999985215
645,87.0,322.4999999998517
646,87.0,322.99999999985124
647,87.0,323.4999999998508
648,87.0,323.99999999985033
649,87.0,324.4999999998499
650,87.0,324.9999999998494
651,87.0,325.49999999984897
652,87.0,325.9999999998485
653,87.0,326.49999999984806
654,87.0,326.9999999998476
655,87.0,327.49999999984715
656,87.0,327.9999999998467
657,87.0,328.49999999984624
658,87.0,328.9999999998458
659,87.0,329.49999999984533
